타임스탬프,질문자명,해당 공지봇의  즉시성(답변 속도)은 어느정도인가요?,해당 공지봇의 RAG를 통한 정보 제공은 정확도는 어떤가요?,사용자가 요구한 정보와 일치하는 답변을 제공하나요?,개선되었으면 하는 영역을 선택하여주세요,갱신 및 추가를 원하는 정보를 선택하여 주세요 ,기타 건의 사항이 있으면 적어주세요. (선택) 
2025. 9. 14 오후 10:05:09,시끄러워니시나카즈키내가최고란걸확실히보여 주마잘봐둬라(이지두댄스이지두댄스)고투헬 (쓰리투원브레이크다운)어리석은자들이여이시시한 프리즘쇼는모두끝났다이제부터내가이썩 어빠진 프리즘쇼세계를숙청하고통치할것을이 자리에서 선언한다(이지두댄스)더크게 노래해 XTCofKOP아캔히어마보이스겟다운바로지금 쏟아지는리듬속에잇츠프리즘보이즈이지두댄스아캔히어마보이스바로지금여기석양의끝에서시작된쇼한배를 탄 우리한곳을향해서거짓따윈모두벗어던져아무것도없는캄캄한길에서춤추는그대를알고싶어도망치는거야이대로끝이야이상할정도로눈이부셔서로의미래꿈이야기하며아픈 상처달래주는나의천사이야아아아아(꺄아아악) 이지고이지고웃는얼굴만이시간속을연결하고있 네 흐압시시한프리즘쇼는전면금지한다트리플 식스의시록(꺄아아악)내노예로만들어주마공포앙골모아의감옥록(꺄아아아악) 이것이스트리트 의힘이다니시나카즈키당장나와라안나오면여기있는녀석들을모두끝내주마,빠름,정확함,일부 오차 존재,"정보 갱신 (신규 인격, E.G.O)","시즌 인격 & 에고 정보 (스킬셋, 패시브, 키워드)",시끄러워니시나카즈키내가최고란걸확실히보여 주마잘봐둬라(이지두댄스이지두댄스)고투헬 (쓰리투원브레이크다운)어리석은자들이여이시시한 프리즘쇼는모두끝났다이제부터내가이썩 어빠진 프리즘쇼세계를숙청하고통치할것을이 자리에서 선언한다(이지두댄스)더크게 노래해 XTCofKOP아캔히어마보이스겟다운바로지금 쏟아지는리듬속에잇츠프리즘보이즈이지두댄스아캔히어마보이스바로지금여기석양의끝에서시작된쇼한배를 탄 우리한곳을향해서거짓따윈모두벗어던져아무것도없는캄캄한길에서춤추는그대를알고싶어도망치는거야이대로끝이야이상할정도로눈이부셔서로의미래꿈이야기하며아픈 상처달래주는나의천사이야아아아아(꺄아아악) 이지고이지고웃는얼굴만이시간속을연결하고있 네 흐압시시한프리즘쇼는전면금지한다트리플 식스의시록(꺄아아악)내노예로만들어주마공포앙골모아의감옥록(꺄아아아악) 이것이스트리트 의힘이다니시나카즈키 당장 나와라안나오면여 기있는녀석들을모두끝내주마
2025. 9. 15 오후 7:05:32,울킬,매우 빠름,매우 정확함,일치함,정확성 개선(제공 하는 정보),"게임(림버스 컴퍼니) 외 프로젝트 문 관련 소식 ex)햄햄팡팡 테마 메뉴, 굿즈 관련 정보",
2025. 9. 15 오후 10:51:20,뚜껑이라고해야하나도희라고해야하나,빠름,정확함,일치함,"정보 갱신 (신규 인격, E.G.O)","시즌 인격 & 에고 정보 (스킬셋, 패시브, 키워드)",
2025. 9. 17 오후 4:48:27,,매우 빠름,매우 정확함,일치함,즉시성 개선(답변속도 빠르게),"세계관 설명 ( 게임내 고유명사) ex) 도시, 둥지, 특이점, 환상체",
2025. 9. 18 오후 12:42:26,반응맨,매우 빠름,정확함,일치함,"정보 갱신 (신규 인격, E.G.O)","통상인격 & 에고 정보(스킬셋, 패시브, 키워드)",
2025. 9. 20 오전 10:15:10,샤드,매우 빠름,보통,일치함,정확성 개선(제공 하는 정보),"게임(림버스 컴퍼니) 외 프로젝트 문 관련 소식 ex)햄햄팡팡 테마 메뉴, 굿즈 관련 정보",
2025. 9. 20 오후 1:38:52,네 얼굴은 앗가이 닮았어,빠름,보통,일부 오차 존재,"정보 갱신 (신규 인격, E.G.O)","이벤트 관련 소식(발푸밤 신규 인격&에고 정보, 콜라보)",
2025. 9. 20 오후 3:54:40,작은형님 뚜껑,느림,부정확함,오차가 많음,"정보 갱신 (신규 인격, E.G.O)","시즌 인격 & 에고 정보 (스킬셋, 패시브, 키워드)",서버 등록 해주세요
2025. 9. 20 오후 4:07:05,멍뭉이,보통,보통,오차가 많음,정확성 개선(제공 하는 정보),"세계관 설명 ( 게임내 고유명사) ex) 도시, 둥지, 특이점, 환상체","저거 에고 이름별로 스킬셋 분리해야할듯, 웨이상 스킬셋 쳤는데  군주 홍루랑 다른 스킬셋 다가져옴 "
2025. 9. 21 오전 12:26:43,박상연,매우 빠름,보통,일부 오차 존재,인터페이스,"게임(림버스 컴퍼니) 외 프로젝트 문 관련 소식 ex)햄햄팡팡 테마 메뉴, 굿즈 관련 정보",
2025. 9. 21 오전 7:56:59,게딕,빠름,정확함,일부 오차 존재,"정보 갱신 (신규 인격, E.G.O)","게임(림버스 컴퍼니) 외 프로젝트 문 관련 소식 ex)햄햄팡팡 테마 메뉴, 굿즈 관련 정보",
2025. 9. 21 오전 11:56:38,햄부기,느림,보통,일부 오차 존재,챗봇의 언어적 표현(어투),"이벤트 관련 소식(발푸밤 신규 인격&에고 정보, 콜라보)",햄부기 
2025. 9. 24 오전 6:13:16,uifujsd,빠름,정확함,일치함,"정보 갱신 (신규 인격, E.G.O)","시즌 인격 & 에고 정보 (스킬셋, 패시브, 키워드)",오라클 서버 추천드립니다.